ID	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	GI	GenBank Accession
1367477_at	mitochondrial ribosomal protein L53	Mrpl53	362388				18186215	BM386162
1367478_at	HtrA serine peptidase 2	Htra2	297376				4609184	AI600136
1367479_at	NOP10 ribonucleoprotein	Nop10	691534				4609042	AI599994
1367480_at	eukaryotic translation initiation factor 4A3	Eif4a3	688288				3814135	AI230248
1367481_at	vacuolar protein sorting 28 homolog (S. cerevisiae)	Vps28	300052				14925012	BI278301
1367482_at	anaphase promoting complex subunit 11	Anapc11	498030				3712499	AI172459
1367483_at	transmembrane protein 261	Tmem261	298147				3710697	AI170657
1367484_at	ubiquitin-conjugating enzyme E2E 1///ubiquitin-conjugating enzyme E2E 2	Ube2e1///Ube2e2	100366017///361013				18191228	BM391175
1367485_at	transcription elongation factor A (SII) 1	Tcea1	362479				18188924	BM388871
1367486_at	ADP-ribosylation factor GTPase activating protein 2	Arfgap2	362162				18186465	BM386412
1367487_at	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	B4galt3	494342				13303082	BG378610
1367488_at	ankyrin repeat domain 17	Ankrd17	289521				18186464	BM386411
1367489_at				Transcribed locus		Rn.101	8506252	BE114147
1367490_at	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	Vipas39	681989				3706881	AI102046
1367491_at	apoptosis inhibitor 5	Api5	362170				3817129	AI233249
1367492_at	DnaJ (Hsp40) homolog, subfamily C, member 8	Dnajc8	313035				3811672	AI227785
1367493_at	similar to DNA segment, Chr 18, Wayne State University 98, expressed	RGD1560212	498890				4608336	AI599288
1367494_at	FCF1 rRNA-processing protein	Fcf1	299198				7166149	AW523764
1367495_at	prefoldin subunit 4	Pfdn4	100366237				4255961	AI412457
1367496_at	transmembrane 9 superfamily member 2	Tm9sf2	306197				3730539	AI179901
1367497_at	phosphatidylserine synthase 1	Ptdss1	314553				4131923	AA851302
1367498_at	YTH domain family, member 1	Ythdf1	296467				3728511	AI177873
1367499_at	solute carrier family 35 (GDP-fucose transporter), member C1	Slc35c1	311204				18190953	BM390900
1367500_at	split hand/foot malformation (ectrodactyly) type 1	Shfm1	680532				3705769	AI169461
1367501_at	signal recognition particle 72	Srp72	498351				18183898	BM383845
1367502_at	mitochondrial ribosomal protein L21	Mrpl21	309140				14943881	BI287857
1367503_at	B-cell receptor-associated protein 31	Bcap31	293852				4253434	AI409930
1367504_at				Transcribed locus		Rn.199095	4254790	AI411286
1367505_at	zinc finger protein 644	Zfp644	305127				8082218	AW916491
1367506_at	mitochondrial ribosomal protein L11	mrpl11	293666				11214558	BF283488
1367507_at	nudix (nucleoside diphosphate linked moiety X)-type motif 22	Nudt22	293703				14931620	BI281661
1367508_at	RGD1565784	RGD1565784	497874				14930744	BI281225
1367509_at	general transcription factor IIH, polypeptide 5	Gtf2h5	502227				3815692	AI231812
1367510_at	thioredoxin domain containing 15	Txndc15	307180				13306162	BG381690
1367511_at	nicastrin	Ncstn	289231				14939118	BI285459
1367512_at	charged multivesicular body protein 5	Chmp5	297995				4289839	AA998435
1367513_at	transmembrane 9 superfamily protein member 4	Tm9sf4	296279				14938076	BI284935
1367514_at	similar to RIKEN cDNA 9030624J02	LOC361635	361635				3829014	AI235508
1367515_at	CCR4-NOT transcription complex, subunit 7	Cnot7	306492				8503955	BE111850
1367516_at	dystrobrevin binding protein 1	Dtnbp1	641528				13300021	BG375549
1367517_at				Transcribed locus		Rn.4203	13269594	BG373057
1367518_at	fat mass and obesity associated	Fto	291905				14886393	BI274976
1367519_at	oxysterol binding protein-like 2	Osbpl2	296461				13269624	BG373087
1367520_at	apolipoprotein A-I binding protein	Apoa1bp	295229				3814930	AI231050
1367521_at				Transcribed locus		Rn.7260	14930665	BI281185
1367522_at	coagulation factor VIII-associated 1	F8a1	501661				3021203	AA894324
1367523_at	trafficking protein particle complex 2-like	Trappc2l	292074				4252649	AI409145
1367524_at	zinc finger protein 592	Zfp592	293038				7176236	AW533822
1367525_at	thyroid hormone receptor associated protein 3	Thrap3	313591				3730471	AI179833
1367526_at	mitochondrial ribosomal protein S26	Mrps26	362216				3730862	AI180224
1367527_at	similar to Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8)	LOC686774	686774				4609306	AI600258
1367528_at	F-box and WD repeat domain containing 8	Fbxw8	304522				8495372	BE103273
1367529_at	derlin 1	Derl1	362912				8506094	BE113989
1367530_at	syntaxin 16	Stx16	362283				4256471	AI412967
1367531_at	eukaryotic translation initiation factor 4H	Eif4h	288599				13888768	BG666846
1367532_at	DAZ associated protein 2	Dazap2	300235				3020065	AA893186
1367533_at	elongator acetyltransferase complex subunit 2	Elp2	307545				13885019	BG663097
1367534_at	RAB GTPase activating protein 1	Rabgap1	311911				13299160	BG374688
1367535_at	interferon regulatory factor 2 binding protein 1	Irf2bp1	308404				13270060	BG373523
1367536_at	APAF1 interacting protein	Apip	295961				3712146	AI172106
1367537_at	eukaryotic translation initiation factor 4E nuclear import factor 1	Eif4enif1	305468				3226311	AI012479
1367538_at	polyhomeotic homolog 3 (Drosophila)	Phc3	310258	TL0AAA51YN10 mRNA sequence		Rn.165170	11215373	BF284303
1367539_at	uncharacterized LOC100910334///general transcription factor IIA, 1	LOC100910334///Gtf2a1	100910334///83830	TL0AEA8YH09 mRNA sequence		Rn.24468	4134494	AI170357
1367540_at	zinc finger, FYVE domain containing 26	Zfyve26	314265				3291691	AI044872
1367541_at	methyltransferase like 5	Mettl5	502632				8506070	BE113965
1367542_at	vasculin-like protein 1-like///GC-rich promoter binding protein 1-like 1	LOC100364632///Gpbp1l1	100364632///313519				4255297	AI411793
1367543_at	Sys1 golgi trafficking protein	Sys1	685079				13301915	BG377443
1367544_at	ring finger protein 111	Rnf111	300813				8512661	BE120556
1367545_at	RAB GTPase activating protein 1	Rabgap1	311911				4999819	AI710043
1367546_at	mitochondrial ribosomal protein L43	Mrpl43	309440				18190351	BM390298
1367547_at	zinc finger, MYM-type 2	Zmym2	305913				18188063	BM388010
1367548_at	suppressor of defective silencing 3 homolog (S. cerevisiae)	Suds3	360819				8510567	BE118462
1367549_a_at	adaptor-related protein complex 3, delta 1 subunit	Ap3d1	314633				14933842	BI282757
1367550_a_at	TM2 domain containing 1	Tm2d1	362545				14943665	BI287742
1367551_a_at	CCZ1 vacuolar protein trafficking and biogenesis associated	Ccz1b	360768				4250197	AI406693
1367552_at	seminal vesicle secretory protein 4	Svs4	24802				202756	M25590
1367553_x_at	hemoglobin, beta	Hbb	24440				17985948	NM_033234
1367554_at	secretoglobin, family 2A, member 2///secretoglobin, family 2A, member 1	Scgb2a2///Scgb2a1	361725///25010				394025656	NM_080770
1367555_at	albumin	Alb	24186				158138567	NM_134326
1367556_s_at	albumin	Alb	24186				158138567	NM_134326
1367557_s_at	glyceraldehyde-3-phosphate dehydrogenase	Gapdh	24383				402691727	NM_017008
1367558_x_at	androgen regulated protein	Andpro	25030				402746514	NM_012718
1367559_at	ferritin light chain 1	Ftl1	29292				204122	L01122
1367560_at	ribosomal protein, large, P0	Rplp0	64205				310616731	NM_022402
1367561_at	ribosomal protein L27	Rpl27	64306				11968093	NM_022514
1367562_at	secreted protein, acidic, cysteine-rich (osteonectin)	Sparc	24791				6981573	NM_012656
1367563_at	secreted protein, acidic, cysteine-rich (osteonectin)	Sparc	24791				600380	D28875
1367564_at	natriuretic peptide A	Nppa	24602				158341690	NM_012612
1367565_a_at	ferritin, heavy polypeptide 1	Fth1	25319				402691891	NM_012848
1367566_at	secretoglobin, family 1A, member 1 (uteroglobin)	Scgb1a1	25575				6981693	NM_013051
1367567_at	ribosomal protein L6	Rpl6	117042				402692292	NM_053971
1367568_a_at	matrix Gla protein	Mgp	25333				6981203	NM_012862
1367569_at	ribosomal protein SA	Rpsa	29236				402765781	NM_017138
1367570_at	transgelin	Tagln	25123				126506302	NM_031549
1367571_a_at	insulin-like growth factor 2	Igf2	24483				297747329	NM_031511
1367572_at	myosin, light chain 3, alkali; ventricular, skeletal, slow	Myl3	24585				166157454	NM_012606
1367573_at	ribosomal protein S6	Rps6	29304				8394223	NM_017160
1367574_at	vimentin	Vim	81818				14389298	NM_031140
1367575_at	enolase 1, (alpha)	Eno1	24333				390125195	NM_012554
1367576_at	glutathione peroxidase 1	Gpx1	24404				252502	S41066
1367577_at	heat shock protein B1	Hspb1	24471				94400789	NM_031970
1367578_at	peroxiredoxin 2	Prdx2	29338				8394431	NM_017169
1367579_a_at	tubulin, alpha 1B///tubulin, alpha 1C///tubulin, alpha 1A	Tuba1b///Tuba1c///Tuba1a	500929///300218///64158				14939068	BI285434
1367580_at	ribosomal protein L10A	Rpl10a	81729				13592008	NM_031065
1367581_a_at	secreted phosphoprotein 1	Spp1	25353				1871123	AB001382
1367582_at	ribosomal protein L29	Rpl29	29283				8394208	NM_017150
1367583_at	tumor protein, translationally-controlled 1	Tpt1	116646				16758733	NM_053867
1367584_at	annexin A2	Anxa2	56611				9845233	NM_019905
1367585_a_at	ATPase, Na+/K+ transporting, alpha 1 polypeptide	Atp1a1	24211				205631	M28647
1367586_at	lactate dehydrogenase A	Ldha	24533				8393705	NM_017025
1367587_at	prolactin family 3, subfamily d, member 4	Prl3d4	24282				15100176	NM_033233
1367588_a_at	ribosomal protein L13A	Rpl13a	317646				32441263	NM_022179
1367589_at	aconitase 2, mitochondrial	Aco2	79250				40538859	NM_024398
1367590_at	RAN, member RAS oncogene family	Ran	84509				16758181	NM_053439
1367591_at	peroxiredoxin 3	Prdx3	64371				11968131	NM_022540
1367592_at	troponin T type 2 (cardiac)	Tnnt2	24837				6981665	NM_012676
1367593_at	selenoprotein W, 1	Sepw1	25545				218563681	NM_013027
1367594_at	biglycan	Bgn	25181				8392982	NM_017087
1367595_s_at	beta-2 microglobulin	B2m	24223				332801023	NM_012512
1367596_at	ribosomal protein S26	Rps26	27139				6981487	NM_013224
1367597_at	ribosomal protein S8	Rps8	65136				13928985	NM_031706
1367598_at	transthyretin	Ttr	24856				333033762	NM_012681
1367599_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	Atp5g1	29754				8392938	NM_017311
1367600_at	desmin	Des	64362				11968117	NM_022531
1367601_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Cited2	114490				56799415	NM_053698
1367602_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Cited2	114490				4133847	AI013390
1367603_at	triosephosphate isomerase 1	Tpi1	24849				117935063	NM_022922
1367604_at	cysteine-rich protein 2	Crip2	338401				11968067	NM_022501
1367605_at	profilin 1	Pfn1	64303				42476143	NM_022511
1367606_at	ribosomal protein S3a	Rps3a	29288				8394220	NM_017153
1367607_at	cytochrome c oxidase subunit IV isoform 1	Cox4i1	29445				8393179	NM_017202
1367608_at	crystallin, beta A4	Cryba4	64348				13928955	NM_031689
1367609_at	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	Mif	81683				13591984	NM_031051
1367610_at	ribosomal protein L19	Rpl19	81767				14389296	NM_031103
1367611_at	transketolase	Tkt	64524				13889015	BG667093
1367612_at	microsomal glutathione S-transferase 1	Mgst1	171341				146134359	NM_134349
1367613_at	peroxiredoxin 1	Prdx1	117254				16923957	NM_057114
1367614_at	annexin A1	Anxa1	25380				402745683	NM_012904
1367615_at	seminal vesicle secretory protein 5	Svs5	171027				407728595	NM_133516
1367616_at	natriuretic peptide B	Nppb	25105				13928737	NM_031545
1367617_at	aldolase A, fructose-bisphosphate	Aldoa	24189				293336162	NM_012495
1367618_a_at	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	Gnb2l1	83427				406035316	NM_130734
1367619_at	progesterone receptor membrane component 1	Pgrmc1	291948				11120719	NM_021766
1367620_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)	Atp5g3	114630				16758591	NM_053756
1367621_at	death-associated protein kinase 3	Dapk3	64391				11968141	NM_022546
1367622_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d	Atp5h	641434				82617691	NM_019383
1367623_at	ribosomal protein L18	Rpl18	81766				126723147	NM_031102
1367624_at	activating transcription factor 4	Atf4	79255				563407075	NM_024403
1367625_at	ribosomal protein L10	Rpl10	81764				13592052	NM_031100
1367626_at	creatine kinase, muscle	Ckm	24265				560879438	NM_012530
1367627_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Gatm	81660				162287085	NM_031031
1367628_at	lectin, galactoside-binding, soluble, 1	Lgals1	56646				9845260	NM_019904
1367629_at	cytochrome c oxidase subunit VIIa polypeptide 2	Cox7a2	29507				160333296	NM_022503
1367630_at	ribosomal protein S11	Rps11	81774				13592070	NM_031110
1367631_at	connective tissue growth factor	Ctgf	64032				78214357	NM_022266
1367632_at	glutamate-ammonia ligase	Glul	24957				142349611	NM_017073
1367633_at	glutamate-ammonia ligase	Glul	24957				14961206	BI296610
1367634_at	ribosomal protein L31	Rpl31	64298				148747106	NM_022506
1367635_at	prolyl 4-hydroxylase, beta polypeptide	P4hb	25506				6981323	NM_012998
1367636_at	insulin-like growth factor 2 receptor	Igf2r	25151				6981077	NM_012756
1367637_a_at	protein phosphatase 1, catalytic subunit, gamma isozyme	Ppp1cc	24669				401709957	NM_022498
1367638_at	malonyl-CoA decarboxylase	Mlycd	85239				16758229	NM_053477
1367639_a_at	ribosomal protein S2	Rps2	83789				2920832	U92700
1367640_at	ribosomal protein S12	Rps12	65139				145279184	NM_031709
1367641_at	superoxide dismutase 1, soluble	Sod1	24786				8394327	NM_017050
1367642_at	succinate-CoA ligase, alpha subunit	Suclg1	114597				139948223	NM_053752
1367643_at	basigin (Ok blood group)	Bsg	25246				158081771	NM_012783
1367644_at	adenylate cyclase 6	Adcy6	25289				202712	L01115
1367645_at	ribosomal protein S17	Rps17	29286				402767285	NM_017152
1367646_at	cathepsin B	Ctsb	64529				82830419	NM_022597
1367647_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	Serpina1	24648				51036654	NM_022519
1367648_at	insulin-like growth factor binding protein 2	Igfbp2	25662				148747420	NM_013122
1367649_at	paralemmin	Palm	170673				18677764	NM_130829
1367650_at	tubulointerstitial nephritis antigen-like 1	Tinagl1	94174				402744410	NM_053582
1367651_at	cathepsin D	Ctsd	171293				42476044	NM_134334
1367652_at	insulin-like growth factor binding protein 3	Igfbp3	24484				5017766	AI713966
1367653_a_at	malate dehydrogenase 1, NAD (soluble)	Mdh1	24551				15100178	NM_033235
1367654_at	FAT atypical cadherin 1	Fat1	83720				402691936	NM_031819
1367655_at	thymosin, beta 10	Tmsb10	50665				160333340	NM_021261
1367656_at	proteasome (prosome, macropain) subunit, beta type 7	Psmb7	85492				16758297	NM_053532
1367657_at	B-cell translocation gene 1, anti-proliferative	Btg1	29618				12025533	NM_017258
1367658_at	SH3 and multiple ankyrin repeat domains 3	Shank3	59312				11067398	NM_021676
1367659_s_at	enoyl-CoA delta isomerase 1	Eci1	29740				162287039	NM_017306
1367660_at	fatty acid binding protein 3, muscle and heart	Fabp3	79131				13162362	NM_024162
1367661_at	S100 calcium binding protein A6	S100a6	85247				13506724	AF140232
1367662_at	hydroxysteroid (17-beta) dehydrogenase 10	Hsd17b10	63864				13994224	NM_031682
1367663_at	proteasome (prosome, macropain) activator subunit 1	Psme1	29630				402744810	NM_017264
1367664_at	ankyrin repeat domain 1	Ankrd1	27064				7106247	NM_013220
1367665_at	ankyrin repeat domain 1	Ankrd1	27064				18654143	L81174
1367666_at	heterogeneous nuclear ribonucleoprotein H1	Hnrnph1	140931				18266699	NM_080896
1367667_at	farnesyl diphosphate synthase	Fdps	83791				13929205	NM_031840
1367668_a_at	stearoyl-CoA desaturase (delta-9-desaturase)	Scd	83792				13929207	NM_031841
1367669_a_at	microtubule-associated protein 1 light chain 3 beta	Map1lc3b	64862				3817070	AI233190
1367670_at	fumarate hydratase	Fh	24368				158186721	NM_017005
1367671_at	proliferating cell nuclear antigen	Pcna	25737				148747129	NM_022381
1367672_at	hydroxysteroid (17-beta) dehydrogenase 4	Hsd17b4	79244				162287197	NM_024392
1367673_at	selenium binding protein 1	Selenbp1	140927				18266691	NM_080892
1367674_at	phosphatidylinositol transfer protein, beta	Pitpnb	114561				16758567	NM_053742
1367675_at	calcium and integrin binding 1 (calmyrin)	Cib1	81823				13592134	NM_031145
1367676_at	high mobility group box 2	Hmgb2	29395				158711705	NM_017187
1367677_at	peroxiredoxin 5	Prdx5	113898				16758403	NM_053610
1367678_at	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	Sdha	157074				18426857	NM_130428
1367679_at	Cd74 molecule, major histocompatibility complex, class II invariant chain	Cd74	25599				78126178	NM_013069
1367680_at	acyl-CoA oxidase 1, palmitoyl	Acox1	50681				148747210	NM_017340
1367681_at	CD151 molecule (Raph blood group)	Cd151	64315				11968105	NM_022523
1367682_at	midkine	Mdk	81517				148747354	NM_030859
1367683_at	karyopherin alpha 2	Kpna2	85245				399154113	NM_053483
1367684_at	crystallin, beta B2	Crybb2	25422				6978712	NM_012937
1367685_at	ribosomal protein S27a	Rps27a	81777				13592076	NM_031113
1367686_at	stress-associated endoplasmic reticulum protein 1	Serp1	80881				42476131	NM_030835
1367687_a_at	peptidylglycine alpha-amidating monooxygenase	Pam	25508				206024	M25719
1367688_at	secretory carrier membrane protein 4	Scamp4	65170				13929017	NM_031725
1367689_a_at	CD36 molecule (thrombospondin receptor)	Cd36	29184				3273896	AF072411
1367690_at	signal sequence receptor, delta	Ssr4	29435				8394363	NM_017199
1367691_at	protein kinase C, delta binding protein	Prkcdbp	85332				19745163	NM_134449
1367692_at	spermine binding protein	Sbp	25540				386781793	NM_013024
1367693_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta	Ywhah	25576				6981709	NM_013052
1367694_at	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	Hadhb	171155				451958073	NM_133618
1367695_at	quinoid dihydropteridine reductase	Qdpr	64192				11693159	NM_022390
1367696_at	interferon induced transmembrane protein 2	Ifitm2	114709				13540633	NM_030833
1367697_at	mitogen activated protein kinase 14	Mapk14	81649				62461581	NM_031020
1367698_a_at	septin 9	Sept9	83788				164698509	NM_031837
1367699_at	SH3-domain GRB2-like 1	Sh3gl1	81922				2558488	AB008161
1367700_at	fibromodulin	Fmod	64507				18104932	NM_080698
1367701_at	receptor (G protein-coupled) activity modifying protein 2	Ramp2	58966				13928891	NM_031646
1367702_at	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Acadm	24158				292494884	NM_016986
1367703_at	crystallin, gamma D	Crygd	24278				14861861	NM_033095
1367704_at	adaptor-related protein complex 2, beta 1 subunit	Ap2b1	140670				18034786	NM_080583
1367705_at	glutaredoxin (thioltransferase)	Glrx	64045				12746262	AF319950
1367706_at	voltage-dependent anion channel 1	Vdac1	83529				13786199	NM_031353
1367707_at	fatty acid synthase	Fasn	50671				8394157	NM_017332
1367708_a_at	fatty acid synthase	Fasn	50671				3729972	AI179334
1367709_at	Cd63 molecule	Cd63	29186				148747404	NM_017125
1367710_at	proteasome (prosome, macropain) activator subunit 2	Psme2	29614				67972658	NM_017257
1367711_at	proteasome (prosome, macropain) 26S subunit, ATPase 2	Psmc2	25581				15100180	NM_033236
1367712_at	TIMP metallopeptidase inhibitor 1	Timp1	116510				16758665	NM_053819
1367713_at	eukaryotic translation initiation factor 2, subunit 1 alpha	Eif2s1	54318				9506570	NM_019356
1367714_at	eukaryotic translation initiation factor 2B, subunit 2 beta	Eif2b2	84005				162138933	NM_032058
1367715_at	tumor necrosis factor receptor superfamily, member 1a	Tnfrsf1a	25625				6981663	NM_013091
1367716_at	integrin alpha FG-GAP repeat containing 1	Itfg1	171083				148227577	NM_133557
1367717_at	ribosomal protein S27	Rps27	94266				145279217	NM_053597
1367718_at	choline kinase beta	Chkb	29367				8393103	NM_017177
1367719_at	ubiquitin protein ligase E3 component n-recognin 5	Ubr5	117060					
1367720_at	aminolevulinate dehydratase	Alad	25374				42475960	NM_012899
1367721_at	syndecan 4	Sdc4	24771				158534065	NM_012649
1367722_at	dipeptidylpeptidase 7	Dpp7	83799				14010870	NM_031973
1367723_a_at	SH2B adaptor protein 3	Sh2b3	58838				13928851	NM_031621
1367724_a_at	ATPase, H+ transporting, lysosomal, V0 subunit e1	Atp6v0e1	94170				50659076	NM_053578
1367725_at	Pim-3 proto-oncogene, serine/threonine kinase	Pim3	64534				12083582	NM_022602
1367726_at	thyroid hormone receptor alpha	Thra	81812				63079702	NM_031134
1367727_at	cytohesin 2	Cyth2	116692				77020287	NM_053911
1367728_at	translin	Tsn	60381				11120711	NM_021762
1367729_at	ornithine aminotransferase	Oat	64313				402744698	NM_022521
1367730_at	USO1 vesicle transport factor	Uso1	56042				9507176	NM_019379
1367731_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	Gnb1	24400				148747523	NM_030987
1367732_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	Gnb1	24400				984552	U34958
1367733_at	carbonic anhydrase 2	Car2	54231				9506444	NM_019291
1367734_at	aldo-keto reductase family 1, member B1 (aldose reductase)	Akr1b1	24192				6978490	NM_012498
1367735_at	acyl-CoA dehydrogenase, long chain	Acadl	25287				6978430	NM_012819
1367736_at	Ras-related GTP binding A	Rraga	117044				82617604	NM_053973
1367737_at	fucosidase, alpha-L- 1, tissue	Fuca1	24375				158186725	NM_012562
1367738_at	UNC-119 homolog (C. elegans)	Unc119	29402				8394512	NM_017188
1367739_at	cytochrome c oxidase, subunit VIIIb	Cox8b	25250				315583344	NM_012786
1367740_at	creatine kinase, brain	Ckb	24264				203469	M14400
1367741_at	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Herpud1	85430				16758961	NM_053523
1367742_at	carnitine palmitoyltransferase 1b, muscle	Cpt1b	25756				6978702	NM_013200
1367743_at	phosphofructokinase, liver	Pfkl	25741				77416374	NM_013190
1367744_at	melanoma antigen, family D, 2	Maged2	113947				78042584	NM_080479
1367745_at	diacylglycerol kinase zeta	Dgkz	81821				13592130	NM_031143
1367746_a_at	flotillin 2	Flot2	83764				399154171	NM_031830
1367747_at	ADP-ribosylation factor-like 3	Arl3	64664				148747151	NM_022700
1367748_at	ADP-ribosylation factor 5	Arf5	79117				13162338	NM_024149
1367749_at	lumican	Lum	81682				13591982	NM_031050
1367750_at	phosphoribosyl pyrophosphate synthetase-associated protein 1	Prpsap1	64390				186700615	NM_022545
1367751_at	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	Dpm2	29640				9506550	NM_019252
1367752_at	breast cancer anti-estrogen resistance 1	Bcar1	25414				6978708	NM_012931
1367753_at	SEC31 homolog A (S. cerevisiae)	Sec31a	93646				14717391	NM_033021
1367754_s_at	argininosuccinate lyase	Asl	59085				140971917	NM_031330
1367755_at	cysteine dioxygenase type 1	Cdo1	81718				16258826	NM_052809
1367756_at	G elongation factor, mitochondrial 1	Gfm1	114017				16758431	NM_053625
1367757_at	cytochrome c oxidase, subunit VIc	Cox6c	54322				160333458	NM_019360
1367758_at	alpha-fetoprotein	Afp	24177				333033772	NM_012493
1367759_at	H1 histone family, member 0	H1f0	24437				42476090	NM_012578
1367760_at	mitogen activated protein kinase kinase 1	Map2k1	170851				220811	D13341
1367761_at	nudE neurodevelopment protein 1-like 1	Ndel1	170845				18959267	NM_133320
1367762_at	somatostatin	Sst	24797				6981581	NM_012659
1367763_at	acetyl-CoA acetyltransferase 1	Acat1	25014				220654	D13921
1367764_at	cyclin G1	Ccng1	25405				164519033	NM_012923
1367765_at	transcobalamin 2	Tcn2	64365				11968123	NM_022534
1367766_at	NME/NM23 nucleoside diphosphate kinase 2	Nme2	83782				55926144	NM_031833
1367767_at	3-hydroxymethyl-3-methylglutaryl-CoA lyase	Hmgcl	79238				13242292	NM_024386
1367768_at	latexin	Lxn	59073				14269567	NM_031655
1367769_at	polymerase (RNA) II (DNA directed) polypeptide G	Polr2g	117017				402692356	NM_053948
1367770_at	delta(4)-desaturase, sphingolipid 1	Degs1	58970				162287183	NM_053323
1367771_at	TSC22 domain family, member 3	Tsc22d3	83514				13786183	NM_031345
1367772_at	chloride channel, nucleotide-sensitive, 1A	Clns1a	65160				13929007	NM_031719
1367773_at	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	Slc25a1	29743				76881820	NM_017307
1367774_at	glutathione S-transferase alpha 1	Gsta1	24421				58331131	NM_031509
1367775_at	alpha-methylacyl-CoA racemase	Amacr	25284				401709962	NM_012816
1367776_at	cyclin-dependent kinase 1	Cdk1	54237				9506474	NM_019296
1367777_at	2,4-dienoyl CoA reductase 1, mitochondrial	Decr1	117543				292781227	NM_057197
1367778_at	furin (paired basic amino acid cleaving enzyme)	Furin	54281				9506954	NM_019331
1367779_at	bridging integrator 1	Bin1	117028				16758845	NM_053959
1367780_at	pituitary tumor-transforming 1	Pttg1	64193				148225060	NM_022391
1367781_at	prolactin induced protein	Pip	64673				451958141	NM_022708
1367782_at	cytochrome c oxidase subunit VIa polypeptide 2	Cox6a2	25278				315583342	NM_012812
1367783_at	GABA(A) receptor-associated protein like 2	Gabarapl2	64670				56961632	NM_022706
1367784_a_at	clusterin	Clu	24854				11127973	AF314657
1367785_at	calponin 1, basic, smooth muscle	Cnn1	65204				13929049	NM_031747
1367786_at	proteasome (prosome, macropain) subunit, beta type, 8	Psmb8	24968				258614011	NM_080767
1367787_at	islet cell autoantigen 1	Ica1	81024				148747185	NM_030844
1367788_at	phosphorylase kinase, gamma 2 (testis)	Phkg2	140671				195546777	NM_080584
