ID	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	GI	GenBank Accession
10344837	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	Prex2	109294				183583558///183583560///229597130	NM_029525///NM_001033636///BC139253
10344879	RIKEN cDNA A830018L16 gene	A830018L16Rik	320492				307574663///307574660///307574662///307574661///187951802	NM_001160369///NM_177173///NM_001160370///NM_001160371///BC137903
10344895								
10344897	sulfatase 1	Sulf1	240725				310616751///26986616///310616753///27356935	NM_001198565///NM_172294///NM_001198566///AY101178
10344922								
10344924	X Kell blood group precursor related family member 9 homolog	Xkr9	381246				118131129///46948384	NM_001011873///AY534255
10344929	musculin	Msc	17681				118130167///3599518	NM_010827///AF087035
10344931	ribosomal protein L5	Rpl5	100503670				318064074///53734118	NM_016980///BC083318
10344933								
10344935	potassium voltage gated channel, Shab-related subfamily, member 2	Kcnb2	98741				156523270///148921544	NM_001098528///BC146609
10344939	telomeric repeat binding factor 1	Terf1	21749				557786211///31044090	NM_009352///AB109563
10344950								
10344952	retinol dehydrogenase 10 (all-trans)	Rdh10	98711				133893004///18043919	NM_133832///BC019796
10344960	transmembrane protein 70	Tmem70	70397				117647262///117647264///15030134	NM_027415///NM_026392///BC011320
10344966	lymphocyte antigen 96	Ly96	17087				228008383///228008384///109734077	NM_016923///NM_001159711///BC116785
10344973	ganglioside-induced differentiation-associated-protein 1	Gdap1	14545				228008381///29165755	NM_010267///BC048177
10344981	peptidase inhibitor 15	Pi15	94227				225690631///13241971	NM_053191///AF329196
10344990	cysteine-rich secretory protein LCCL domain containing 1	Crispld1	83691				123173745///26996571	NM_031402///BC040768
10345007	transcription factor AP-2, delta	Tfap2d	226896				256542307///156229717	NM_153154///BC152324
10345016	transcription factor AP-2 beta	Tfap2b	21419				556503426///556503337	NM_009334///NM_001025305
10345025	isoleucine-tRNA synthetase	Iars	105148				254553371///44890802	NM_172015///BC067029
10345028	microRNA 206	Mir206	387202				262206142	NR_029593
10345030	microRNA 133b	Mir133b	723817				262205129	NR_029902
10345032	interleukin 17A	Il17a	16171				142367609///1469917	NM_010552///U43088
10345037	progestin and adipoQ receptor family member VIII	Paqr8	74229				40254345///37589586	NM_028829///BC059813
10345046	EF-hand domain (C-terminal) containing 1	Efhc1	71877				254553421///170522959	NM_027974///EU520262
10345058	transmembrane protein 14A	Tmem14a	75712				595582355///21961354	NM_029398///BC034768
10345065	glutathione S-transferase, alpha 3	Gsta3	14859				568786340///568786341///193702	NM_001077353///NM_010356///M73483
10345074	centrin 4	Cetn4	207175				133891791///21702405	NM_145825///AF362367
10345077	KH domain containing 1A	Khdc1a	368204				154090982///33413975	NM_183322///AY238603
10345079	KH domain containing 1C///KH domain containing 1A///KH domain containing 1B	Khdc1c///Khdc1a///Khdc1b	433278///368204///98582				154090982///76573871///163954936///68534056///33413975	NM_183322///NM_001033904///NM_001113187///BC099381///AY238603
10345083	KH domain containing 1C///KH domain containing 1A///KH domain containing 1B	Khdc1c///Khdc1a///Khdc1b	433278///368204///98582				163954936///154090982///76573871///68534056///33413975	NM_001113187///NM_183322///NM_001033904///BC099381///AY238603
10345087	microRNA 30a	Mir30a	387225				262205845	NR_029533
10345089	microRNA 30c-2	Mir30c-2	723964				262205490	NR_029717
10345091	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)///small ArfGAP 1	B3gat2///Smap1	280645///98366				46909608///595582155///37046895	NM_172124///NM_028534///BC058082
10345099	RIKEN cDNA 1110058L19 gene	1110058L19Rik	68002				229577371///22137675	NM_026503///BC028981
10345101	collagen, type IX, alpha 1	Col9a1	12839				226693379///23274264	NM_007740///BC038017
10345141	LMBR1 domain containing 1	Lmbrd1	68421				123701961///19343768	NM_026719///BC025579
10345167								
10345172								
10345174	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	Ddx3x	13205				164607180///223462260	NM_010028///BC150862
10345181								
10345183	cyclin-dependent kinase 10	Cdk10	234854				237858587///237858588///83026341	NM_194446///NM_194444///DQ288857
10345190	lengsin, lens protein with glutamine synthetase domain	Lgsn	266744				23956409///23507706	NM_153601///AF545851
10345197	PIH1 domain containing 3	Pih1d3	74708				113461993///115527654	NM_029062///BC107262
10345200								
10345203	polyamine oxidase (exo-N4-amino)	Paox	212503				146149215///28933848	NM_153783///AF226656
10345206								
10345212	KH domain containing, RNA binding, signal transduction associated 2	Khdrbs2	170771				20143979///126362061	NM_133235///BC132117
10345224								
10345226								
10345228	RIKEN cDNA 1700001G17 gene	1700001G17Rik	67503				283046743	NR_033199
10345230	RAB23, member RAS oncogene family	Rab23	19335				228480285///228480286///19344039	NM_008999///NM_001159729///BC025578
10345241	dystonin	Dst	13518				454525777///454526347///15077864///15077862///15077860///37360065///904021///77661726///23958518///93210115///126362027///26342065///74137458///74193010///74194177///26083219	NM_134448///NM_133833///AF396879///AF396878///AF396877///AK129201///U25158///DQ023311///BC033468///DQ463750///BC131678///AK051626///AK160419///AK039885///AK141319///AK033108
10345350								
10345352								
10345357	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	Imp4	27993				190684704///47682924	NM_178601///BC069930
10345368								
10345370	protein tyrosine phosphatase, non-receptor type 18	Ptpn18	19253				113199760///2584836	NM_011206///U35124
10345387	protease, serine 39	Prss39	21755				118130424///115527545	NM_009355///BC115665
10345393	cripto, FRL-1, cryptic family 1	Cfc1	12627				142366288///1848238	NM_007685///U57720
10345401	APC membrane recruitment 3	Amer3	211383				237649071///47124612	NM_213727///BC070435
10345404								
10345406								
10345409								
10345411	Rho guanine nucleotide exchange factor (GEF) 4	Arhgef4	226970				56699447///223460766	NM_183019///BC139371
10345423	pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2	226971				119637809///6013424	NM_145516///AF189817
10345436				RNA for type IIB intracisternal A-particle (IAP) element encoding integrase,...		Mm.423006	51488///45500987	X16670///BC067197
10345438								
10345440								
10345442	heparan sulfate 6-O-sulfotransferase 1	Hs6st1	50785				225690607///30354498	NM_015818///BC052316
10345445	AT rich interactive domain 5A (MRF1-like)	Arid5a	214855				288557302///288557304///288557307///288557306///20072596	NM_001172205///NM_001172206///NR_033310///NM_145996///BC027152
10345457								
10345482	cyclin M4	Cnnm4	94220				162287062///9280371	NM_033570///AF216963
10345492	cyclin M3	Cnnm3	94218				88196783///88196781///9280373	NM_001039551///NM_053186///AF216964
10345504	cytochrome c oxidase subunit Vb	Cox5b	12859				112807194///71051225	NM_009942///BC099474
10345509	zeta-chain (TCR) associated protein kinase	Zap70	22637				576067921///20987556	NM_009539///BC029727
10345527								
10345529	von Willebrand factor A domain containing 3B	Vwa3b	70853				187955685///29436670	BC147491///BC049712
10345546								
10345548								
10345550								
10345552								
10345554								
10345556								
10345558	von Willebrand factor A domain containing 3B	Vwa3b	70853				29747778	BC050813
10345571	cyclic nucleotide gated channel alpha 3	Cnga3	12790				530537228///23273386	NM_009918///BC035272
10345580	inositol polyphosphate-4-phosphatase, type I	Inpp4a	269180				595763461///595763454///11875783	NM_030266///NM_172971///AF317838
10345608	unc-50 homolog (C. elegans)	Unc50	67387				83921615///28188309	NM_026123///AY017214
10345616	lipoyltransferase 1	Lipt1	623661				158853993///18044150	NM_001037918///BC019519
10345620	mitochondrial ribosomal protein L30	Mrpl30	107734				142384716///13435487	NM_027098///BC004614
10345626	eukaryotic translation initiation factor 5B	Eif5b	226982				84043960///33311795	NM_198303///BC055393
10345656	neuromedin S	Nms	433292				237649057///58430456	NM_001011684///AB164466
10345666	phosducin-like 3	Pdcl3	68833				146141145///13542795	NM_026850///BC005601
10345675	neuronal PAS domain protein 2	Npas2	18143				161621276///1840057	NM_008719///U77969
10345698	ribosomal protein L31///TBC1 domain family, member 8	Rpl31///Tbc1d8	114641///54610				255003790///224809346///56541053///4099610	NM_053257///NM_018775///BC086916///U88873
10345704								
10345706	CCR4-NOT transcription complex, subunit 11	Cnot11	52846				29294708///30047219	BC049091///BC050812
10345715	mitogen-activated protein kinase kinase kinase kinase 4	Map4k4	26921				145279236///37360045	NM_008696///AK129191
10345752	interleukin 1 receptor, type II	Il1r2	16178				76253864///71059692	NM_010555///CT010182
10345762	interleukin 1 receptor, type I	Il1r1	16177				118130781///183396775///198300	NM_008362///NM_001123382///M20658
10345777	interleukin 1 receptor-like 2	Il1rl2	107527				146149158///115527500	NM_133193///BC117797
10345791	interleukin 1 receptor-like 1	Il1rl1	17082				659667962///659667963///201103	NM_001025602///NM_010743///M24843
10345807	interleukin 18 receptor 1	Il18r1	16182				240255470///240255488///240255490///1206010	NM_008365///NM_001161842///NM_001161843///U43673
10345824	interleukin 18 receptor accessory protein	Il18rap	16174				575771932///3851061	NM_010553///AF077347
10345840	solute carrier family 9 (sodium/hydrogen exchanger), member 4	Slc9a4	110895				142388918///111308709	NM_177084///BC120543
10345855	solute carrier family 9 (sodium/hydrogen exchanger), member 2	Slc9a2	226999				75832048///74356419	NM_001033289///BC104737
10345869	transmembrane protein 182	Tmem182	381339				124487102///187955669	NM_001081198///BC147440
10345875								
10345877								
10345879	POU domain, class 3, transcription factor 3	Pou3f3	18993				112421035	NM_008900
10345882	mitochondrial ribosomal protein S9	Mrps9	69527				169790908///115527780	NM_023514///BC116437
10345895	G protein-coupled receptor 45	Gpr45	93690				237757313///110002644	NM_053107///BC118510
10345902								
10345904	expressed sequence AI597479	AI597479	98404				19527037///13905263	NM_133818///BC006931
10345909	ribosomal protein L29 pseudogene///ribosomal protein L29	Gm8580///Rpl29	667338///19944				226442855///404765	NR_027478///L08651
10345911								
10345913	non-catalytic region of tyrosine kinase adaptor protein 2	Nck2	17974				190610035///21706397	NM_010879///BC034255
10345921	RIKEN cDNA 1500015O10 gene	1500015O10Rik	78896				228008373///12805552	NM_024283///BC002254
10345926	ADP-ribosylation factor 1	Arf1	11840				194353961///194353960///21594147	NM_001130408///NM_007476///BC031986
10345928								
10345930	tripeptidyl peptidase II	Tpp2	22019				141803002///575954	NM_009418///X81323
10345967	basic, immunoglobulin-like variable motif containing	Bivm	246229				169790931///21305832	NM_144558///AF411386
10345981	excision repair cross-complementing rodent repair deficiency, complementation group 5	Ercc5	22592				170172543///38614245	NM_011729///BC060659
10346000	GULP, engulfment adaptor PTB domain containing 1	Gulp1	70676				164518894///21618965	NM_028450///BC032154
10346015	collagen, type III, alpha 1	Col3a1	12825				226423932///29144942	NM_009930///BC043089
10346067								
10346069								
10346072								
10346074	WD repeat domain 75	Wdr75	73674				141801733///115527512	NM_028599///BC117880
10346098								
10346105	ribosomal protein L23A	Rpl23a	268449				254028197///33317317	NM_207523///AF452721
10346107								
10346109	dynein, axonemal, heavy chain 7B	Dnah7b	227058				237874195	NM_001160386
10346114								
10346116								
10346137								
10346139								
10346141								
10346146								
10346150	transmembrane protein with EGF-like and two follistatin-like domains 2	Tmeff2	56363				229576834///22028201	NM_019790///BC034850
10346164	serum deprivation response	Sdpr	20324				20270266///20072520	NM_138741///BC027005
10346168	signal transducer and activator of transcription 4	Stat4	20849				158508441///509502	NM_011487///U09351
10346191	signal transducer and activator of transcription 1	Stat1	20846				328887936///13435935	NM_009283///BC004808
10346222				RNA for type IIB intracisternal A-particle (IAP) element encoding integrase,...		Mm.423006	51488///45500987	X16670///BC067197
10346224	transmembrane protein 194B	Tmem194b	227094				217416363///218083062	NM_001142647///NR_024590
10346235	3-hydroxyisobutyryl-Coenzyme A hydrolase	Hibch	227095				22122624///20071740	NM_146108///BC026437
10346250	myostatin	Mstn	17700				118130172///2065554	NM_010834///U84005
10346255	ORM1-like 1 (S. cerevisiae)	Ormdl1	227102				169790911///15126790	NM_145517///BC012315
10346260	O-sialoglycoprotein endopeptidase-like 1	Osgepl1	72085				34849663	BC058172
10346269	coiled-coil domain containing 150	Ccdc150	78016				229577138///219519914	NM_030025///BC145597
10346298	coenzyme Q10 homolog B (S. cerevisiae)	Coq10b	67876				89337273///89337265///38566073	NM_001039710///NM_026424///BC062129
10346303	heat shock protein 1 (chaperonin 10)	Hspe1	15528				183396769///68534058	NM_008303///BC099385
10346310	MOB family member 4, phocein	Mob4	19070				125347251///37194907	NM_025283///BC058168
10346321								
10346323	methionine-tRNA synthetase 2 (mitochondrial)	Mars2	212679				113461994///124376035	NM_175439///BC132343
10346328	ribosomal protein S24	Rps24	20088				46519155///51980700	NM_011297///BC081457
10346330	phospholipase C-like 1	Plcl1	227120				167900457	NM_001114663
10346337	RIKEN cDNA 1700066M21 gene	1700066M21Rik	73467				256355004	NM_028546
10346340	RIKEN cDNA 9430016H08 gene	9430016H08Rik	68115				48735411///170016024	BC071241///NM_001081181
10346348	spermatogenesis associated, serine-rich 2-like	Spats2l	67198				257096025///257096027///18256185	NM_144882///NM_001164566///BC021879
10346365	shugoshin-like 2 (S. pombe)	Sgol2	68549				229576857///295424107///30931072	NM_199007///NM_001177867///BC052742
10346374	aldehyde oxidase 1	Aox1	11761				110347466///4126959	NM_009676///AB017482
10346410	aldehyde oxidase 3	Aox3	71724				114205419///187951240	NM_023617///BC138876
10346448	aldehyde oxidase 4	Aox4	71872				114205421///109734969	NM_023631///BC117975
10346485	aldehyde oxidase 2	Aox2	213043				255918235///56123329	NM_001008419///AY187018
10346523	basic leucine zipper and W2 domains 1	Bzw1	66882				133892965///20809380	NM_025824///BC028865
10346533	peptidylprolyl isomerase (cyclophilin)-like 3///Ngg1 interacting factor 3-like 1 (S. pombe)	Ppil3///Nif3l1	70225///65102				41056092///169790965///40796190	NM_022988///NM_027374///BC065163
10346544	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3	Ndufb3	66495				142366150///22478080	NM_025597///BC036989
10346549	chromobox 3	Cbx3	12417				108860694///17390827	NM_007624///BC018354
10346551	CASP8 and FADD-like apoptosis regulator	Cflar	12633				658309362///131889125///20809752	NM_207653///NM_009805///BC029223
10346562	CASP8 and FADD-like apoptosis regulator	Cflar	12633				658309362	NM_207653
10346564	caspase 8	Casp8	12370				110626095///122056577///13879512	NM_009812///NM_001080126///BC006737
10346576	STE20-related kinase adaptor beta	Stradb	227154				87239985///33585806	NM_172656///BC055814
10346592	transmembrane protein 237	Tmem237	381259				83716016///223461868	NM_001033449///BC147243
10346594	cyclin-dependent kinase 15///cyclin-dependent kinase 15	Cdk15///Cdk15	271697///271697	Cyclin-dependent kinase 15	Cdk15	Mm.297713	241666397///187955635///187955291///187955886///187956178///219520905///74193326///56021996///56001392	NM_001033373///BC147314///BC147315///BC147758///BC147763///BC172036///AK042881///AK197819///AK177215
10346607	frizzled homolog 7 (Drosophila)	Fzd7	14369				158635945///38649242	NM_008057///BC063077
10346611	predicted gene 973	Gm973	381260				124244084///49119688	NM_001013771///BC072561
10346634	NOP58 ribonucleoprotein	Nop58	55989				120407049///49901388	NM_018868///BC076604
10346651	bone morphogenetic protein receptor, type II (serine/threonine kinase)	Bmpr2	12168				469469045///2653668	NM_007561///U78048
10346668	family with sequence similarity 117, member B	Fam117b	72750				408535185	NM_001037725
10346678	calcium response factor	Carf	241066				550822418///18158218	NM_139150///AF454947
10346695	neurobeachin like 1	Nbeal1	269198				153791556	NM_173444
10346722	neurobeachin like 1	Nbeal1	269198				153791556///37994643	NM_173444///BC060141
10346747	cytochrome P450, family 20, subfamily a, polypeptide 1	Cyp20a1	77951				142367182///29165691	NM_030013///BC049147
10346762								
10346764	abl-interactor 2	Abi2	329165				310688886///310688884///310688883///33989914	NM_001198571///NM_001198570///NM_198127///BC056345
10346780	eukaryotic translation initiation factor 4A1///eukaryotic translation initiation factor 4A1	Eif4a1///Eif4a1	13681///13681	Eukaryotic translation initiation factor 4A1///Transcribed locus, strongly similar to NP_989880.1 eukaryotic initiation fac...	Eif4a1///	Mm.371557///Mm.279821	226823307///226823308///29612605///56013948///56026518///56023235///56013189	NM_144958///NM_001159375///BC049915///AK189771///AK202341///AK199058///AK189012
10346783	CD28 antigen	Cd28	12487				161484596///192482	NM_007642///M34563
10346790	cytotoxic T-lymphocyte-associated protein 4	Ctla4	12477				530354668///27503117	NM_009843///BC042741
10346799	inducible T cell co-stimulator	Icos	54167				224809334///22028394	NM_017480///BC034852
10346808	ribosomal protein L17	Rpl17	319195				161484661///61402315	NM_001002239///BC091759
10346810	par-3 family cell polarity regulator beta	Pard3b	72823				163310766///116077816	NM_001081050///BC114605
10346838	par-3 family cell polarity regulator beta	Pard3b	72823				163310766	NM_001081050
10346840								
10346843	neuropilin 2	Nrp2	18187				116686131///116686139///116686133///116686141///116686137///116686143///19548765	NM_001077403///NM_001077404///NM_010939///NM_001077405///NM_001077406///NM_001077407///AF483506
10346867	eukaryotic translation elongation factor 1 beta 2	Eef1b2	55949				293651552///18605703	NM_018796///BC023139
10346874								
10346876	small nucleolar RNA, H/ACA box 41	Snora41	100217464				260166581	NR_028558
10346878	zinc finger, DBF-type containing 2	Zdbf2	73884				255982597	NM_028673
10346882	a disintegrin and metallopeptidase domain 23	Adam23	23792				82546877///294862272///5736618	NM_011780///NM_001177600///AB009673
10346914	FAST kinase domains 2	Fastkd2	75619				183396788///14198426	NM_172422///BC008271
10346928								
10346938	predicted gene 13749	Gm13749	433315				240255453	NR_027824
10346941								
10346943	cAMP responsive element binding protein 1	Creb1	12912				82546873///82546875///158966706///18203788	NM_133828///NM_009952///NM_001037726///BC021649
10346960	cyclin Y-like 1	Ccnyl1	227210				148237242	NM_001097644
10346970	phosphoinositide kinase, FYVE finger containing	Pikfyve	18711				115529472///4200445	NM_011086///AF102777
10347018	parathyroid hormone 2 receptor	Pth2r	213527				110625877///14193722	NM_139270///AF332078
10347033	crystallin, gamma F	Crygf	12969				141802466///33991686	NM_027010///BC056453
10347036	microtubule-associated protein 2	Map2	17756				90186269///68341934///30851417	NM_001039934///NM_008632///BC052446
10347058								
10347060	unc-80 homolog (C. elegans)	Unc80	329178				254939707///218683664	NM_175510///FJ210934
10347073	unc-80 homolog (C. elegans)	Unc80	329178				254939707///218683664	NM_175510///FJ210934
10347106	ribulose-5-phosphate-3-epimerase	Rpe	66646				141801666///13905310	NM_025683///BC006953
10347115								
10347117	carbamoyl-phosphate synthetase 1	Cps1	227231				556503458///117558724	NM_001080809///BC126969
10347158								
10347163	sperm associated antigen 16	Spag16	66722				408684403///408684402///22450204	NM_029160///NM_025728///AF490391
10347186								
10347188	von Willebrand factor C domain-containing protein 2-like	Vwc2l	320460				70887781///63101534	NM_177164///BC094541
10347193	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Atic	108147				227908822///25058535	NM_026195///BC039925
10347210								
10347214								
10347216	ribosomal protein L21	Rpl21	19933				254939642///60422803	NM_019647///BC090256
10347218								
10347220	U2 small nuclear RNA 10	Rnu2-10	19848				161333864	NR_004414
10347222	U2 small nuclear RNA 10	Rnu2-10	19848				161333864	NR_004414
10347224	U2 small nuclear RNA 10	Rnu2-10	19848				161333864	NR_004414
10347226	transmembrane protein 169	Tmem169	271711				146198521///109732905	NM_175564///BC116730
10347232	X-ray repair complementing defective repair in Chinese hamster cells 5	Xrcc5	22596				160333604///30354224	NM_009533///BC051660
10347254	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	Smarcal1	54380				229577277///20809350	NM_018817///BC029078
10347273	microRNA 682///ribosomal protein L37a	Mir682///Rpl37a	751556///19981				228480289///262205322///66570891	NM_009084///NR_030451///BC096413
10347277	insulin-like growth factor binding protein 2	Igfbp2	16008				343478163///15215266	NM_008342///BC012724
10347282	RUN and FYVE domain containing 4	Rufy4	435626				282165730///169808408///187956306	NM_001170641///NM_001034060///BC150907
10347291	chemokine (C-X-C motif) receptor 2	Cxcr2	12765				87299639///30354045	NM_009909///BC051677
10347295								
10347297	actin related protein 2/3 complex, subunit 2	Arpc2	76709				112363071///92110222	NM_029711///BC115750
10347307	G protein-coupled bile acid receptor 1	Gpbar1	227289				27923942///109733063	NM_174985///BC116914
10347310	paroxysmal nonkinesiogenic dyskinesia	Pnkd	56695				87239983///87239998///87239987///37747506	NM_001039509///NM_019999///NM_025580///BC058945
10347324	ciliogenesis associated TTC17 interacting protein	Catip	241112				223462256///141803113	BC150857///NM_001033345
10347335	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	Slc11a1	18173				190877472///474903	NM_013612///L13732
10347351	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	Ctdsp1	227292				237681197///15145798	NM_153088///AY028804
10347362	microRNA 26b	Mir26b	387219				262205632	NR_029743
10347364	villin 1	Vil1	22349				190684695///15929677	NM_009509///BC015267
10347386	rcd1 (required for cell differentiation) homolog 1 (S. pombe)	Rqcd1	58184				229576841///30354326	NM_021383///BC051948
10347398	zinc finger protein 142///phospholipase C, delta 4	Zfp142///Plcd4	77264///18802				125347157///125347170///141801887///21307609	NM_001081456///NM_148937///NM_029888///AY033991
10347417	BCS1-like (yeast)	Bcs1l	66821				146135043///18043155	NM_025784///BC019781
10347427	serine/threonine kinase 36	Stk36	269209				67846120///27696725	NM_175031///BC043103
10347460	tubulin tyrosine ligase-like family, member 4	Ttll4	67534				62510078///54887420	NM_001014974///BC085151
10347481	cytochrome P450, family 27, subfamily a, polypeptide 1	Cyp27a1	104086				142367423///32967639	NM_024264///BC055028
10347491	wingless-type MMTV integration site family, member 6	Wnt6	22420				119672921///28913526	NM_009526///BC048700
10347497	wingless-type MMTV integration site family, member 10A	Wnt10a	22409				229094723///1546012	NM_009518///U61969
10347503	cyclin-dependent kinase 5, regulatory subunit 2 (p39)	Cdk5r2	12570				161333859	NM_009872
10347508	family with sequence similarity 134, member A	Fam134a	227298				124248547///47124592	NM_170755///BC070406
10347521	zinc finger, AN1 type domain 2B	Zfand2b	68818				229577433///229577441///229577445///15079310	NM_026846///NM_001159905///NM_001159906///BC011495
10347531	ankyrin repeat and zinc finger domain containing 1	Ankzf1	52231				390198549///48735222	NM_026187///BC071240
10347552	tubulin, alpha 4A///serine/threonine kinase 16	Tuba4a///Stk16	22145///20872				255918130///142387233///4063861	NM_011494///NM_009447///AF089869
10347564	DnaJ (Hsp40) homolog, subfamily B, member 2	Dnajb2	56812				229577331///229577330///229577328///229577333///229577343///15029742	NM_001159883///NM_178055///NM_020266///NM_001159884///NM_001159885///BC011090
10347583	desmin	Des	13346				576067924///21594445	NM_010043///BC031760
10347593	SPEG complex locus	Speg	11790				153792585///153792079///145699118///291042651///11385415	NM_007463///NM_001085370///NM_001085371///NM_001173477///AF215896
10347639	GDP-mannose pyrophosphorylase A	Gmppa	69080				145864487///14198106///74188349	NM_133708///BC008116///AK144311
10347650	acid-sensing (proton-gated) ion channel family member 4	Asic4	241118				145864488///33416488	NM_183022///BC055772
10347662	transmembrane protein 198	Tmem198	319998				237858576///37589592	NM_177056///BC059868
10347669	inhibin alpha	Inha	16322				118130058///34785300	NM_010564///BC056627
10347672	serine/threonine kinase 11 interacting protein	Stk11ip	71728				169808412///38197292	NM_027886///BC061635
10347697	solute carrier family 4 (anion exchanger), member 3	Slc4a3	20536				165377245///51328344///191735///41946100	NM_009208///BC080271///M28383///BC066086
10347724								
10347726								
10347728								
10347730								
10347732								
10347734	sphingosine-1-phosphate phosphotase 2	Sgpp2	433323				119709820///29436889	NM_001004173///BC049995
10347741	monoacylglycerol O-acyltransferase 1	Mogat1	68393				229577407///76779282	NM_026713///BC106135
10347748	UTP14, U3 small nucleolar ribonucleoprotein, homolog B (yeast)///acyl-CoA synthetase long-chain family member 3	Utp14b///Acsl3	195434///74205				209977072///209977073///209977075///209977085///209977086///21618723///36956696	NM_028817///NM_001033606///NM_001136222///NM_001001981///NM_001136226///BC031529///AY316161
10347767	potassium voltage-gated channel, Isk-related subfamily, gene 4	Kcne4	57814				10946657///21411194	NM_021342///BC032920
10347772								
10347774	mitochondrial ribosomal protein L44	Mrpl44	69163				124487074///18043979	NM_001081210///BC019727
10347779	RIKEN cDNA 9830004L10 gene	9830004L10Rik	100038658				74210315///74187603	AK137457///AK162131
10347781	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2	Nyap2	241134				118129943///52078373	NM_172849///BC082310
10347790							26354602	AK089594
10347792								
10347796	rhomboid domain containing 1	Rhbdd1	76867				170014729///170014731///13529622	NM_029777///NM_001122685///BC005518
10347807	collagen, type IV, alpha 3	Col4a3	12828				145699100///5739384	NM_007734///AF169387
10347860								
